Latitude (N),Longitude (E),Occator DTM (LAMO) (256 ppd)
19.892578125000004,241.193359375,6940.0
19.892578125000004,241.19726562499997,6939.0
19.892578125,241.201171875,6939.0
19.892578125000004,241.20507812499997,6939.0
19.892578125000004,241.20898437499997,6938.0
19.892578125000004,241.212890625,6938.0
19.892578125,241.21679687499994,6937.0
19.892578125,241.220703125,6937.0
19.892578125000004,241.224609375,6936.0
19.892578125000004,241.22851562499997,6936.0
19.892578125000004,241.232421875,6935.0
19.892578125000004,241.236328125,6935.0
19.892578125000004,241.24023437499997,6935.0
19.892578125,241.244140625,6935.0
19.892578125,241.24804687499994,6935.0
19.892578125000004,241.251953125,6935.0
19.892578125000004,241.255859375,6935.0
19.892578125,241.259765625,6935.0
19.892578125,241.263671875,6935.0
19.892578125000004,241.267578125,6935.0
19.892578125,241.271484375,6936.0
19.892578125,241.275390625,6937.0
19.892578125,241.279296875,6937.0
19.892578125000004,241.283203125,6939.0
19.892578125000004,241.287109375,6940.0
19.892578125000004,241.291015625,6941.0
19.892578125,241.294921875,6942.0
19.892578125000004,241.29882812499997,6943.0
19.892578125,241.302734375,6944.0
19.892578125000004,241.306640625,6944.0
19.892578125,241.310546875,6944.0
19.892578125,241.314453125,6944.0
19.892578125,241.31835937499997,6944.0
19.892578125000004,241.322265625,6944.0
19.892578125,241.326171875,6943.0
19.892578125000004,241.33007812499997,6943.0
19.892578125,241.333984375,6942.0
19.892578125,241.337890625,6943.0
19.892578125000004,241.341796875,6943.0
19.892578125,241.345703125,6943.0
19.892578125,241.349609375,6944.0
19.892578125000004,241.353515625,6945.0
19.892578125,241.357421875,6947.0
19.892578125000004,241.36132812499997,6948.0
19.892578125,241.365234375,6950.0
19.892578125000004,241.36914062499994,6952.0
19.892578125000004,241.373046875,6953.0
19.892578125000004,241.376953125,6955.0
19.892578125,241.380859375,6956.0
19.892578125000004,241.384765625,6957.0
19.892578125000004,241.388671875,6958.0
19.892578125000004,241.392578125,6959.0
19.892578125,241.396484375,6961.0
19.892578125000004,241.40039062499997,6962.0
19.892578125,241.404296875,6963.0
